alg,fitness
BL,0.166819
BL,0.16967
BL,0.169486
BL,0.171487
BL,0.171921
BL,0.168916
BL,0.170776
BL,0.171488
BL,0.1691
BL,0.169001
AGG-UN,0.20167
AGG-UN,0.193956
AGG-UN,0.201938
AGG-UN,0.194772
AGG-UN,0.197345
AGG-UN,0.202516
AGG-UN,0.199705
AGG-UN,0.195727
AGG-UN,0.194566
AGG-UN,0.194846
AGG-SF,0.19953
AGG-SF,0.201106
AGG-SF,0.200017
AGG-SF,0.201445
AGG-SF,0.198309
AGG-SF,0.199393
AGG-SF,0.202379
AGG-SF,0.197826
AGG-SF,0.198715
AGG-SF,0.199224
AGE-UN,0.198148
AGE-UN,0.19307
AGE-UN,0.192234
AGE-UN,0.196669
AGE-UN,0.190183
AGE-UN,0.194173
AGE-UN,0.195466
AGE-UN,0.201711
AGE-UN,0.190157
AGE-UN,0.196799
AGE-SF,0.196602
AGE-SF,0.198441
AGE-SF,0.194919
AGE-SF,0.195595
AGE-SF,0.197332
AGE-SF,0.196859
AGE-SF,0.19585
AGE-SF,0.197734
AGE-SF,0.194731
AGE-SF,0.196068
AM-All,0.202809
AM-All,0.200697
AM-All,0.203903
AM-All,0.205647
AM-All,0.198868
AM-All,0.200114
AM-All,0.200569
AM-All,0.200047
AM-All,0.202709
AM-All,0.204547
AM-Rand,0.181048
AM-Rand,0.177621
AM-Rand,0.179192
AM-Rand,0.178611
AM-Rand,0.180081
AM-Rand,0.178237
AM-Rand,0.175544
AM-Rand,0.180656
AM-Rand,0.174809
AM-Rand,0.180125
AM-Best,0.174496
AM-Best,0.175813
AM-Best,0.180382
AM-Best,0.180422
AM-Best,0.175538
AM-Best,0.177251
AM-Best,0.179615
AM-Best,0.174522
AM-Best,0.174232
AM-Best,0.174204
