alg,fitness
Greedy,1.14098
Greedy,0.999778
Greedy,0.982712
Greedy,1.15529
Greedy,1.15164
Greedy,1.30178
Greedy,0.906356
Greedy,0.97433
Greedy,0.751107
Greedy,1.20673
BL,0.408498
BL,0.408771
BL,0.400069
BL,0.394965
BL,0.409064
BL,0.410222
BL,0.397772
BL,0.409292
BL,0.411473
BL,0.394516
ES,0.478736
ES,0.478491
ES,0.491268
ES,0.484114
ES,0.47685
ES,0.487379
ES,0.480011
ES,0.487156
ES,0.479351
ES,0.489953
BMB,0.4012
BMB,0.39821
BMB,0.399528
BMB,0.394965
BMB,0.402065
BMB,0.402388
BMB,0.39507
BMB,0.398687
BMB,0.399606
BMB,0.392826
ILS-BL,0.402372
ILS-BL,0.393764
ILS-BL,0.388896
ILS-BL,0.378585
ILS-BL,0.3901
ILS-BL,0.395045
ILS-BL,0.392993
ILS-BL,0.389821
ILS-BL,0.393499
ILS-BL,0.390509
ILS-ES,0.481347
ILS-ES,0.490918
ILS-ES,0.4823
ILS-ES,0.487195
ILS-ES,0.481664
ILS-ES,0.488157
ILS-ES,0.481183
ILS-ES,0.482405
ILS-ES,0.47668
ILS-ES,0.490078
