alg,fitness
Greedy,3.47449
Greedy,2.41181
Greedy,3.30632
Greedy,2.50541
Greedy,3.66355
Greedy,1.9625
Greedy,2.58191
Greedy,2.91721
Greedy,3.13879
Greedy,3.20533
BL,1.18612
BL,1.18928
BL,1.25328
BL,1.18044
BL,1.17357
BL,1.26065
BL,1.18757
BL,1.20271
BL,1.23524
BL,1.18743
AM-Best,1.25021
AM-Best,1.23695
AM-Best,1.16135
AM-Best,1.16469
AM-Best,1.23299
AM-Best,1.2039
AM-Best,1.20815
AM-Best,1.19214
AM-Best,1.18229
AM-Best,1.19421
ES,1.13714
ES,1.16277
ES,1.16046
ES,1.16121
ES,1.13308
ES,1.16046
ES,1.16046
ES,1.17611
ES,1.16121
ES,1.14453
BMB,1.15712
BMB,1.18219
BMB,1.18471
BMB,1.13914
BMB,1.17357
BMB,1.17495
BMB,1.18602
BMB,1.16447
BMB,1.17208
BMB,1.15325
ILS-BL,1.18612
ILS-BL,1.18563
ILS-BL,1.18495
ILS-BL,1.17545
ILS-BL,1.15135
ILS-BL,1.15053
ILS-BL,1.18185
ILS-BL,1.18491
ILS-BL,1.1921
ILS-BL,1.1821
ILS-ES,1.13745
ILS-ES,1.14841
ILS-ES,1.13744
ILS-ES,1.15057
ILS-ES,1.13839
ILS-ES,1.1434
ILS-ES,1.17494
ILS-ES,1.13661
ILS-ES,1.15306
ILS-ES,1.14766
